국가별수출입 실적,,,,,,
,,,,,,
"통계기준:수리일,조회구분:202001 ~202207 ,국가:전체",,,,,,
,,,,,,"단위:천 불(USD 1,000)"
2021.04,베트남,"57,791","4,334,987","56,961","2,138,288","2,196,700"
2021.04,홍콩,"27,918","2,985,366","48,368","164,571","2,820,796"
2021.04,일본,"272,640","2,489,525","207,539","4,845,079","-2,355,554"
2021.04,대만,"29,959","1,770,535","26,565","1,852,259","-81,724"
2021.04,인도,"19,149","1,351,273","16,394","734,173","617,100"
2021.04,독일,"17,643","981,881","234,435","2,061,881","-1,080,000"
2021.04,싱가포르,"46,210","884,063","13,226","1,119,938","-235,876"
2021.04,멕시코,"14,060","877,857","7,507","635,939","241,919"
2021.04,러시아 연방,"11,919","836,356","2,300","1,560,840","-724,484"
2021.04,말레이시아,"30,066","799,769","14,087","776,237","23,532"
2021.04,호주,"14,634","767,341","62,718","2,406,133","-1,638,792"
2021.04,태국,"15,789","761,700","38,202","582,373","179,327"
2021.04,인도네시아,"21,589","666,339","8,908","829,827","-163,487"
2021.04,필리핀,"14,141","617,628","8,768","297,947","319,682"
2021.04,폴란드,"7,604","593,434","2,854","100,137","493,297"
2021.04,튀르키예,"9,007","587,960","3,908","123,731","464,229"
2021.04,캐나다,"18,802","576,082","32,153","593,816","-17,734"
2021.04,네덜란드,"9,343","462,350","6,399","818,930","-356,581"
2021.04,영국,"10,198","462,082","53,279","554,367","-92,285"
2021.04,브라질,"7,045","407,932","1,835","448,989","-41,057"
2021.04,이탈리아,"6,506","374,848","61,681","682,321","-307,473"
2021.04,몰타,344,"370,924",207,"6,252","364,672"
2021.04,아랍에미리트 연합,"7,073","355,881",650,"431,437","-75,556"
2021.04,프랑스,"7,380","341,456","28,994","553,362","-211,906"
2021.04,벨기에,"2,804","303,253","2,917","219,911","83,341"
2021.04,라이베리아,151,"286,909",50,352,"286,558"
2021.04,헝가리,"2,320","285,991","1,625","53,827","232,164"
2021.04,슬로바키아,"1,612","254,873","1,320","63,870","191,002"
2021.04,체코공화국,"2,913","251,021","5,011","93,258","157,764"
2021.04,스페인,"4,440","241,193","8,090","188,358","52,834"
2021.04,마샬군도,52,"239,162",64,56,"239,106"
2021.04,사우디아라비아,"3,044","207,464",650,"1,686,216","-1,478,752"
2021.04,방글라데시,"2,904","171,519","1,680","55,042","116,477"
2021.04,우즈베크,"1,314","155,960",88,"2,428","153,532"
2021.04,이스라엘,"2,575","155,594","1,788","156,977","-1,383"
2021.04,파키스탄,"1,964","146,873",734,"39,681","107,192"
2021.04,이집트,"4,107","138,841",637,"21,980","116,861"
2021.04,칠레,"4,148","127,224","2,078","458,813","-331,589"
2021.04,오스트리아,"2,548","121,812","4,816","163,020","-41,209"
2021.04,스웨덴,"1,910","120,947","4,431","208,435","-87,487"
2021.04,이라크,673,"113,044",53,"579,812","-466,768"
2021.04,뉴질랜드,"2,881","108,062","45,999","161,692","-53,630"
2021.04,에쿠아도르,519,"101,365",271,"9,569","91,796"
2021.04,그리스,"1,082","89,693",577,"73,034","16,659"
2021.04,콜롬비아,"1,506","88,057","1,051","28,449","59,608"
2021.04,슬로베니아,693,"81,891",443,"13,663","68,227"
2021.04,남아프리카공화국,"2,017","78,407",401,"81,910","-3,503"
2021.04,페루,"1,216","69,170",778,"247,019","-177,849"
2021.04,나이지리아,"1,138","67,085",84,"36,803","30,282"
2021.04,노르웨이,647,"64,676","2,454","117,724","-53,048"
2021.04,카자흐스탄,"1,340","64,289",66,"285,337","-221,048"
2021.04,루마니아,"1,119","58,151","4,088","45,163","12,988"
2021.04,포루투갈,"1,046","55,882","7,336","36,194","19,688"
2021.04,오만,"1,413","55,409",67,"230,335","-174,925"
2021.04,파나마,970,"52,027",89,"25,074","26,953"
2021.04,스위스,"1,384","51,079","4,951","266,753","-215,674"
2021.04,과테말라,"1,494","49,131",483,"13,229","35,902"
2021.04,캄보디아,"1,986","47,717",613,"25,356","22,361"
2021.04,요르단,"1,603","45,153",114,"6,576","38,577"
2021.04,푸에르토리코,231,"41,185",143,"31,478","9,708"
2021.04,아일랜드,900,"40,968","1,302","95,553","-54,584"
2021.04,우크라이나,"2,936","40,725",334,"13,164","27,561"
2021.04,리비아,"6,131","38,736",18,"1,467","37,270"
2021.04,덴마크,"1,308","35,667","2,755","86,477","-50,809"
2021.04,몽골,"2,535","35,171","1,885",319,"34,852"
2021.04,카타르,837,"32,913",186,"768,721","-735,809"
2021.04,핀란드,829,"31,800","1,173","54,998","-23,198"
2021.04,아르헨티나,996,"28,409",466,"51,174","-22,765"
2021.04,쿠웨이트,774,"28,336",55,"675,822","-647,486"
2021.04,케냐,329,"27,898",113,"3,593","24,306"
2021.04,모로코,455,"27,222",668,"17,703","9,518"
2021.04,가나,"2,217","27,043",40,"2,321","24,721"
2021.04,도미니카 공화국,515,"25,576",136,"8,198","17,378"
2021.04,피지,91,"24,979",19,293,"24,687"
2021.04,세르비아,263,"23,715",136,"22,811",903
2021.04,스리랑카,859,"20,386",574,"13,603","6,783"
2021.04,코트디봐르,194,"18,277",18,"1,629","16,647"
2021.04,알제리,379,"18,060",11,"112,587","-94,527"
2021.04,수단,379,"17,211",15,"1,721","15,491"
2021.04,예맨,490,"16,535",64,"5,269","11,266"
2021.04,네팔,163,"16,467",102,267,"16,200"
2021.04,코스타리카,633,"15,912",462,"45,316","-29,403"
2021.04,미얀마,430,"15,886",433,"30,173","-14,287"
2021.04,리투아니아,374,"15,656",595,"7,651","8,005"
2021.04,엘살바도르,298,"14,884",199,"14,247",637
2021.04,불가리아,458,"14,379","1,447","12,404","1,975"
2021.04,적도 기니,8,"14,284",1,"35,457","-21,174"
2021.04,탄자니아,388,"12,962",22,"1,978","10,984"
2021.04,우루과이,220,"12,094",105,"10,156","1,938"
2021.04,이란,258,"11,734",26,666,"11,067"
2021.04,앙골라,221,"11,599",9,2,"11,596"
2021.04,튀니지,186,"10,368",953,"6,256","4,113"
2021.04,우간다,61,"10,306",23,483,"9,823"
2021.04,조지아,458,"10,264",14,"3,154","7,109"
2021.04,온두라스,548,"10,030",115,"23,630","-13,600"
2021.04,크로아티아,177,"9,567",194,"1,530","8,037"
2021.04,키르기스스탄,589,"9,262",5,17,"9,244"
2021.04,파라과이,202,"7,900",37,"8,866",-967
2021.04,모잠비크,57,"7,895",12,"21,269","-13,374"
2021.04,바레인,336,"7,883",74,"27,744","-19,862"
2021.04,레바논,256,"7,858",64,"3,804","4,054"
2021.04,라트비아,347,"7,752",319,"8,322",-570
2021.04,에스토니아,307,"7,729",293,"4,887","2,842"
2021.04,아제르바이잔,778,"7,555",4,62,"7,493"
2021.04,이디오피아,108,"7,277",286,"6,230","1,047"
2021.04,니카라과,217,"7,101",75,"21,117","-14,016"
2021.04,팔레스타인 해방기구,116,"7,050",0,0,"7,050"
2021.04,세네갈,408,"6,863",45,"3,031","3,832"
2021.04,아이티,192,"6,783",9,278,"6,505"
2021.04,베라루스,124,"5,801",78,"5,643",157
2021.04,라오스,128,"5,433",167,"4,152","1,281"
2021.04,보츠와나,13,"5,378",5,49,"5,329"
2021.04,룩셈부르그,135,"5,285",259,"7,460","-2,175"
2021.04,괌,404,"5,131",24,164,"4,966"
2021.04,불령 리유니온 코모도 제도,35,"4,641",1,1,"4,640"
2021.04,말리,24,"4,612",8,219,"4,393"
2021.04,지부티,75,"4,567",5,433,"4,134"
2021.04,파푸아 뉴기니,72,"4,349",38,"1,411","2,938"
2021.04,카메룬,181,"4,248",15,477,"3,771"
2021.04,콩고민주공화국,58,"3,583",65,"102,146","-98,563"
2021.04,아프카니스탄,143,"3,450",13,61,"3,389"
2021.04,아이슬란드,74,"3,387",37,344,"3,044"
2021.04,부르키나 파소,36,"3,276",3,74,"3,202"
2021.04,사이프러스,130,"3,235",33,517,"2,718"
2021.04,트리니다드 토바고,62,"3,228",51,"23,974","-20,745"
2021.04,타지크,984,"3,155",3,17,"3,138"
2021.04,시리아,127,"3,102",8,5,"3,098"
2021.04,사모아,30,"3,008",5,192,"2,815"
2021.04,마다카스카르,173,"2,941",79,820,"2,121"
2021.04,볼리비아,100,"2,925",30,"90,106","-87,181"
2021.04,마티니크,19,"2,776",0,0,"2,776"
2021.04,기타국,42,"2,722",571,"233,894","-231,172"
2021.04,베네주엘라,50,"2,643",35,"1,396","1,247"
2021.04,토고,147,"2,604",28,"3,871","-1,267"
2021.04,가이아나,46,"2,534",0,1,"2,533"
2021.04,알바니아,164,"2,480",364,839,"1,641"
2021.04,과델로프,19,"2,362",0,0,"2,362"
2021.04,자마이카,39,"2,315",11,118,"2,197"
2021.04,콩고,45,"2,231",9,"62,262","-60,031"
2021.04,아르메니아,92,"2,151",150,806,"1,345"
2021.04,베닝,36,"2,107",2,0,"2,107"
2021.04,모리셔스,76,"2,060",49,284,"1,776"
2021.04,브루나이,137,"2,014",12,"17,854","-15,840"
2021.04,기니,215,"1,955",50,"5,422","-3,467"
2021.04,르완다,71,"1,923",3,28,"1,896"
2021.04,뉴 칼레도니아,85,"1,750",9,"12,400","-10,650"
2021.04,마카오,205,"1,652",20,34,"1,618"
2021.04,리히텐슈타인,25,"1,518",59,942,576
2021.04,마이크로네시아,74,"1,451",3,66,"1,385"
2021.04,불령 폴리네시아,48,"1,428",3,197,"1,232"
2021.04,몰도바,103,"1,403",541,"1,686",-282
2021.04,부탄,45,"1,279",0,0,"1,279"
2021.04,바하마,47,"1,270",4,2,"1,269"
2021.04,아메리칸 사모아,27,"1,266",8,37,"1,229"
2021.04,불령 가이아나,15,"1,246",1,0,"1,246"
2021.04,짐바브웨,29,"1,198",13,"1,354",-156
2021.04,보스니아-헤르체고비나,37,"1,134",152,"1,596",-463
2021.04,가봉,49,"1,082",2,252,830
2021.04,세이쉘,36,"1,023",4,282,741
2021.04,소말리아,21,961,1,59,902
2021.04,몰디브,41,875,1,0,875
2021.04,솔로몬 군도,19,871,5,"2,519","-1,649"
2021.04,말라위,15,780,5,154,627
2021.04,카보 베르데,13,775,0,0,775
2021.04,북마리아나 군도,89,760,2,40,721
2021.04,니제르,5,734,3,"44,716","-43,982"
2021.04,키리바티,20,644,3,"1,029",-385
2021.04,시에라 리온,36,635,15,"1,390",-755
2021.04,잠비아,35,574,8,"8,691","-8,117"
2021.04,영령 캐이맨 군도,11,537,0,0,537
2021.04,아루바,21,512,0,0,512
2021.04,바누아투,38,502,13,"1,071",-569
2021.04,중앙아프리카공화국,3,473,2,31,442
2021.04,버뮤다,8,470,0,0,470
2021.04,감비아,109,457,3,206,251
2021.04,마세도니아,45,455,27,"2,024","-1,568"
2021.04,바베이도스,11,438,5,45,393
2021.04,투르크멘,17,425,5,2,423
2021.04,모리타니,10,394,15,"1,724","-1,330"
2021.04,수리남,17,348,10,532,-185
2021.04,큐라소,17,340,0,0,340
2021.04,티모르,4,338,1,0,338
2021.04,세인트 마틴,7,325,0,0,325
2021.04,세인트 루시아,9,289,0,0,289
2021.04,팔라우,26,253,0,0,253
2021.04,챠드,2,236,0,0,236
2021.04,메요트,3,214,0,0,214
2021.04,안티가 바부다,14,210,3,1,208
2021.04,몬테네그로,14,208,2,0,208
2021.04,영령 버진군도,6,197,1,9,188
2021.04,나미비아,25,182,5,9,173
2021.04,그레나다,4,158,0,92,66
2021.04,투발루,2,144,0,0,144
2021.04,도미니카,5,137,3,15,122
2021.04,지브랄타,15,136,0,0,136
2021.04,세인트 키츠 네비스,7,135,2,0,135
2021.04,벨리제,15,112,1,6,106
2021.04,세인트 빈센트 그레나딘,5,78,0,0,78
2021.04,쿠바,8,67,8,270,-204
2021.04,에리트리아,1,53,0,0,53
2021.04,네덜란드 열도,9,49,2,1,48
2021.04,남수단,2,43,1,0,43
2021.04,레소토,3,34,0,12,22
2021.04,부룬디,10,33,1,10,23
2021.04,나우루,2,30,0,0,30
2021.04,상토메 프린스페,1,29,1,60,-31
2021.04,스와질랜드,10,29,5,88,-58
2021.04,안도라,3,28,17,15,13
2021.04,보네르 신트외스타티위스,1,23,1,0,23
2021.04,산마리노,3,20,12,"1,239","-1,219"
2021.04,통가,3,16,1,18,-2
2021.04,투르크 & 카이코스 군도,2,9,0,0,9
2021.04,저어지,1,6,3,1,5
2021.04,포클랜드 군도,1,4,2,47,-43
2021.04,앙귈라,2,1,6,2,-1
2021.04,기네비소,2,1,2,221,-220
2021.04,남조지아 & 남샌드위치 군도,1,1,0,0,1
2021.04,건지,1,1,2,18,-16
2021.04,모나코,1,0,8,71,-71
2021.04,안타티카,0,0,1,6,-6
2021.04,그린랜드,0,0,2,0,0
2021.04,몬트세라트,1,0,0,0,0
2021.04,미령 버진군도,4,0,3,0,0
2021.04,마이너 아우틀링 합중국 군도,0,0,1,0,0
2021.04,코모로스,0,0,1,62,-62
2021.04,영령 인도양,0,0,1,0,0
2021.04,맨섬,0,0,1,0,0
2021.04,불령 남부지역,0,0,1,1,-1
2021.04,세인트마틴(생마르탱),1,0,0,0,0
2021.04,세인트 헬레나,0,0,1,26,-26
2021.04,쿡 아일랜드,1,0,1,0,0
2021.04,니우에,0,0,1,16,-16
2021.04,코스 군도,0,0,0,52,-52
2021.04,토켈라우,0,0,2,18,-18
2021.05,중국,"187,478","13,246,809","471,086","10,874,644","2,372,165"
2021.05,미국,"195,932","7,448,016","1,739,251","6,436,130","1,011,886"
2021.05,베트남,"52,609","4,167,819","55,089","1,845,275","2,322,544"
2021.05,홍콩,"27,144","3,093,420","41,792","118,045","2,975,375"
2021.05,일본,"285,049","2,361,627","194,160","3,967,898","-1,606,272"
2021.05,대만,"29,256","1,950,812","25,600","1,908,779","42,032"
2021.05,싱가포르,"46,738","1,381,625","9,384","809,805","571,821"
2021.05,인도,"14,485","993,776","14,533","583,047","410,729"
2021.05,독일,"17,031","949,240","234,996","2,023,578","-1,074,338"
2021.05,말레이시아,"29,287","935,343","13,317","923,161","12,182"
2021.05,멕시코,"13,248","897,619","8,101","508,954","388,665"
2021.05,러시아 연방,"9,440","772,787","2,216","1,294,682","-521,895"
2021.05,태국,"14,746","724,331","40,833","598,401","125,931"
2021.05,인도네시아,"21,187","687,664","8,352","710,015","-22,351"
2021.05,호주,"13,910","682,264","61,723","2,075,597","-1,393,333"
2021.05,필리핀,"12,593","671,001","8,648","267,901","403,100"
2021.05,튀르키예,"8,765","622,307","3,992","87,214","535,094"
2021.05,폴란드,"6,591","566,851","2,672","120,842","446,009"
2021.05,마샬군도,44,"549,506",49,69,"549,437"
2021.05,영국,"9,625","526,432","50,955","584,690","-58,258"
2021.05,캐나다,"16,178","508,387","32,234","650,684","-142,297"
2021.05,네덜란드,"8,139","429,355","5,691","674,480","-245,125"
2021.05,이탈리아,"6,167","401,070","60,732","717,599","-316,529"
2021.05,헝가리,"2,385","372,924","1,755","73,713","299,211"
2021.05,브라질,"6,798","333,900","1,815","511,991","-178,091"
2021.05,벨기에,"2,581","323,186","2,708","189,556","133,630"
2021.05,프랑스,"6,936","309,545","29,451","551,812","-242,267"
2021.05,체코공화국,"2,713","233,804","4,624","99,140","134,665"
2021.05,스페인,"4,370","220,487","8,543","202,263","18,224"
2021.05,아랍에미리트 연합,"6,022","220,015",624,"647,970","-427,955"
2021.05,슬로바키아,"1,492","213,794","1,199","51,372","162,422"
2021.05,사우디아라비아,"2,761","196,758",622,"1,821,417","-1,624,660"
2021.05,몰타,281,"190,717",195,"5,332","185,384"
2021.05,뉴질랜드,"2,666","186,054","50,625","137,878","48,176"
2021.05,칠레,"4,785","154,492","1,316","404,656","-250,165"
2021.05,우즈베크,"1,176","148,562",86,"1,571","146,991"
2021.05,이집트,"3,482","139,267",392,"51,438","87,828"
2021.05,스웨덴,"1,671","124,841","4,276","143,457","-18,615"
2021.05,이스라엘,"2,354","124,509","1,695","156,229","-31,720"
2021.05,방글라데시,"2,488","118,738","1,234","32,072","86,666"
2021.05,슬로베니아,735,"109,151",467,"10,802","98,349"
2021.05,파나마,800,"108,778",111,"2,818","105,961"
2021.05,오스트리아,"2,209","106,415","4,590","167,217","-60,802"
2021.05,파키스탄,"1,444","102,445",708,"18,937","83,508"
2021.05,페루,"1,024","101,928",838,"269,741","-167,813"
2021.05,콜롬비아,"1,212","91,054",980,"79,951","11,104"
2021.05,카자흐스탄,"1,190","80,285",51,"152,454","-72,169"
2021.05,남아프리카공화국,"1,883","72,012",834,"200,552","-128,540"
2021.05,아일랜드,778,"69,245","1,182","104,050","-34,805"
2021.05,바하마,32,"65,406",7,5,"65,401"
2021.05,나이지리아,"1,037","65,390",65,"144,382","-78,992"
2021.05,이라크,600,"60,834",32,"406,720","-345,886"
2021.05,토고,113,"55,608",34,"4,795","50,813"
2021.05,요르단,"1,804","54,591",103,"7,016","47,575"
2021.05,포루투갈,934,"51,051","7,594","41,197","9,854"
2021.05,에쿠아도르,467,"49,739",342,"15,441","34,298"
2021.05,덴마크,"1,209","49,446","2,827","117,757","-68,311"
2021.05,루마니아,"1,082","48,636","3,620","36,538","12,098"
2021.05,우크라이나,"2,673","48,097",338,"21,263","26,834"
2021.05,스위스,"1,454","47,340","4,647","268,807","-221,467"
2021.05,리비아,"6,442","42,883",12,754,"42,128"
2021.05,캄보디아,"1,819","42,734",562,"15,023","27,711"
2021.05,핀란드,795,"38,445","1,250","71,928","-33,484"
2021.05,푸에르토리코,190,"37,350",128,"38,895","-1,546"
2021.05,몽골,"2,395","36,036","1,728","2,199","33,837"
2021.05,튀니지,181,"35,678",911,"7,523","28,155"
2021.05,아르헨티나,941,"35,523",377,"36,081",-557
2021.05,그리스,913,"34,318",523,"106,707","-72,389"
2021.05,노르웨이,661,"33,178","2,494","120,967","-87,789"
2021.05,카타르,759,"31,920",159,"777,481","-745,561"
2021.05,스리랑카,908,"30,145",502,"10,966","19,179"
2021.05,모로코,393,"27,518",653,"17,905","9,613"
2021.05,미얀마,650,"24,764",975,"18,297","6,466"
2021.05,가나,"2,055","24,182",39,"4,640","19,542"
2021.05,과테말라,"1,581","23,968",404,"9,862","14,106"
2021.05,엘살바도르,289,"23,892",183,"24,663",-771
2021.05,코스타리카,661,"23,380",452,"10,688","12,692"
2021.05,탄자니아,355,"21,749",23,"2,043","19,706"
2021.05,도미니카 공화국,493,"21,425",129,"7,099","14,327"
2021.05,세르비아,220,"20,207",126,"19,623",583
2021.05,오만,"1,405","18,558",69,"147,170","-128,612"
2021.05,콩고민주공화국,51,"18,118",36,"70,289","-52,170"
2021.05,케냐,314,"17,267",105,"2,353","14,915"
2021.05,코트디봐르,181,"16,106",20,"1,630","14,477"
2021.05,예맨,"3,363","15,821",54,"4,065","11,756"
2021.05,세네갈,435,"15,805",47,"3,329","12,476"
2021.05,알제리,361,"15,262",30,"177,932","-162,670"
2021.05,쿠웨이트,622,"14,899",56,"554,589","-539,690"
2021.05,우루과이,158,"14,799",66,"12,157","2,642"
2021.05,수단,171,"14,365",5,869,"13,496"
2021.05,리투아니아,388,"13,967",689,"9,825","4,143"
2021.05,불가리아,397,"13,917","1,286","14,163",-246
2021.05,온두라스,526,"12,415",118,"5,171","7,244"
2021.05,이란,232,"12,334",34,787,"11,547"
2021.05,이디오피아,44,"11,312",244,"6,148","5,164"
2021.05,에스토니아,317,"11,288",331,"6,578","4,710"
2021.05,앙골라,184,"10,534",6,2,"10,532"
2021.05,라트비아,268,"10,178",376,"11,992","-1,814"
2021.05,네팔,79,"9,745",55,163,"9,583"
2021.05,바레인,260,"9,719",63,"17,649","-7,931"
2021.05,레바논,194,"8,638",77,"2,892","5,746"
2021.05,조지아,287,"8,420",21,64,"8,356"
2021.05,파라과이,152,"8,276",32,"10,073","-1,797"
2021.05,모잠비크,66,"8,194",5,601,"7,593"
2021.05,아제르바이잔,657,"8,093",6,25,"8,068"
2021.05,키르기스스탄,602,"8,070",7,12,"8,058"
2021.05,아이티,215,"7,935",16,208,"7,727"
2021.05,아이슬란드,59,"7,143",49,650,"6,493"
2021.05,괌,428,"6,477",32,151,"6,326"
2021.05,크로아티아,181,"6,335",181,"1,193","5,142"
2021.05,라오스,107,"6,278",136,"3,683","2,594"
2021.05,니카라과,177,"5,908",64,359,"5,549"
2021.05,기타국,59,"5,085",632,"246,430","-241,345"
2021.05,브루나이,125,"5,075",13,"52,480","-47,405"
2021.05,불령 리유니온 코모도 제도,35,"5,042",0,7,"5,035"
2021.05,베라루스,130,"4,747",68,"4,116",631
2021.05,타지크,977,"4,629",1,0,"4,629"
2021.05,카메룬,187,"4,415",17,300,"4,116"
2021.05,트리니다드 토바고,77,"4,190",36,"10,934","-6,744"
2021.05,파푸아 뉴기니,105,"4,143",50,"57,594","-53,451"
2021.05,룩셈부르그,114,"3,633",243,"10,530","-6,897"
2021.05,시리아,111,"3,282",10,4,"3,277"
2021.05,라이베리아,104,"3,203",28,172,"3,030"
2021.05,가이아나,57,"3,131",0,0,"3,131"
2021.05,사모아,22,"3,119",8,208,"2,911"
2021.05,부르키나 파소,38,"2,661",1,0,"2,661"
2021.05,사이프러스,118,"2,650",24,928,"1,722"
2021.05,팔레스타인 해방기구,93,"2,633",0,0,"2,633"
2021.05,베네주엘라,42,"2,601",24,857,"1,745"
2021.05,피지,58,"2,552",4,315,"2,238"
2021.05,시에라 리온,25,"2,548",13,"1,065","1,482"
2021.05,기니,174,"2,543",57,"5,042","-2,499"
2021.05,마카오,188,"2,457",22,29,"2,427"
2021.05,우간다,62,"2,397",34,540,"1,857"
2021.05,볼리비아,84,"2,387",23,"12,520","-10,133"
2021.05,뉴 칼레도니아,74,"2,243",14,"27,348","-25,105"
2021.05,모리셔스,75,"2,191",47,661,"1,529"
2021.05,아르메니아,69,"2,120",108,"2,380",-260
2021.05,알바니아,124,"2,115",508,445,"1,669"
2021.05,잠비아,41,"1,996",5,"4,758","-2,762"
2021.05,콩고,45,"1,872",11,"128,424","-126,552"
2021.05,자마이카,45,"1,831",16,462,"1,369"
2021.05,아프카니스탄,129,"1,819",13,5,"1,814"
2021.05,투르크멘,20,"1,774",1,0,"1,774"
2021.05,마다카스카르,100,"1,735",120,784,951
2021.05,리히텐슈타인,36,"1,733",64,"1,264",468
2021.05,짐바브웨,22,"1,699",3,194,"1,505"
2021.05,바베이도스,10,"1,674",0,1,"1,674"
2021.05,세이쉘,29,"1,597",6,274,"1,323"
2021.05,베닝,35,"1,480",3,1,"1,480"
2021.05,말라위,16,"1,457",11,385,"1,072"
2021.05,몰도바,87,"1,413",708,"1,546",-132
2021.05,지부티,49,"1,290",4,455,835
2021.05,북마리아나 군도,104,"1,267",6,56,"1,211"
2021.05,부탄,43,"1,258",0,0,"1,258"
2021.05,르완다,74,"1,164",5,187,977
2021.05,나미비아,10,"1,085",3,1,"1,084"
2021.05,소말리아,13,976,1,0,975
2021.05,불령 폴리네시아,35,923,4,173,751
2021.05,세인트 루시아,9,811,1,18,793
2021.05,과델로프,18,810,1,4,805
2021.05,솔로몬 군도,19,765,3,413,352
2021.05,세인트 마틴,7,741,0,0,741
2021.05,아메리칸 사모아,14,676,13,280,396
2021.05,마세도니아,36,622,17,136,487
2021.05,보스니아-헤르체고비나,33,614,153,"2,382","-1,768"
2021.05,몬테네그로,14,598,3,"3,867","-3,268"
2021.05,수리남,15,580,5,102,478
2021.05,몰디브,40,558,1,0,558
2021.05,마이크로네시아,47,552,2,112,440
2021.05,키리바티,36,474,0,0,474
2021.05,아루바,24,448,0,0,448
2021.05,마티니크,13,446,0,0,446
2021.05,벨리제,14,440,0,1,439
2021.05,감비아,80,417,17,"1,286",-869
2021.05,도미니카,6,380,2,16,364
2021.05,카보 베르데,5,348,0,0,348
2021.05,모리타니,10,304,24,"3,458","-3,154"
2021.05,안티가 바부다,7,304,2,3,301
2021.05,그레나다,4,288,1,0,288
2021.05,쿠바,15,285,12,338,-53
2021.05,가봉,24,281,7,355,-73
2021.05,버뮤다,5,281,1,1,281
2021.05,투발루,4,280,1,4,276
2021.05,바누아투,22,273,23,"3,666","-3,393"
2021.05,팔라우,18,264,1,18,246
2021.05,큐라소,13,196,0,0,196
2021.05,불령 가이아나,16,193,0,0,193
2021.05,보츠와나,10,186,4,12,174
2021.05,말리,12,160,6,599,-438
2021.05,영령 캐이맨 군도,6,142,0,0,142
2021.05,티모르,5,133,0,0,133
2021.05,중앙아프리카공화국,2,98,0,0,98
2021.05,부룬디,8,94,2,11,83
2021.05,코모로스,3,92,2,1,91
2021.05,기네비소,3,90,3,322,-232
2021.05,스와질랜드,11,78,11,105,-27
2021.05,상토메 프린스페,2,71,0,1,70
2021.05,레소토,1,63,2,12,51
2021.05,세인트 키츠 네비스,2,58,2,6,52
2021.05,네덜란드 열도,12,54,4,31,24
2021.05,지브랄타,9,49,0,1,48
2021.05,세인트 빈센트 그레나딘,4,42,1,1,40
2021.05,니제르,5,33,4,"1,010",-977
2021.05,산마리노,2,24,10,"1,214","-1,190"
2021.05,메요트,3,17,0,0,17
2021.05,세인트 바르탤르미,2,13,0,0,13
2021.05,챠드,3,7,0,0,7
2021.05,영령 버진군도,4,5,1,1,5
2021.05,미령 버진군도,6,3,6,1,2
2021.05,안도라,2,3,21,17,-14
2021.05,적도 기니,2,2,0,0,2
2021.05,모나코,2,2,8,62,-60
2021.05,앙귈라,1,1,3,2,-1
2021.05,쿡 아일랜드,1,1,0,0,1
2021.05,세인트마틴(생마르탱),1,1,0,0,1
2021.05,니우에,0,0,6,93,-93
2021.05,맨섬,0,0,0,12,-12
2021.05,영령 인도양,0,0,1,1,-1
2021.05,토켈라우,0,0,1,225,-225
2021.05,나우루,0,0,1,"2,816","-2,816"
2021.05,안타티카,0,0,1,0,0
2021.05,그린랜드,2,0,0,0,0
2021.05,건지,0,0,1,2,-2
2021.05,파로에 군도,0,0,2,36,-36
2021.05,코스 군도,0,0,3,1,-1
2021.05,에리트리아,0,0,1,"9,649","-9,649"
2021.05,통가,1,0,2,28,-28
2021.05,불령 남부지역,0,0,1,0,0
2021.05,저어지,3,0,6,1,0
2021.05,남수단,2,0,0,0,0
2021.06,중국,"228,729","13,070,490","497,758","11,423,625","1,646,865"
2021.06,미국,"221,567","8,717,226","1,603,739","6,489,351","2,227,875"
2021.06,베트남,"57,187","4,581,971","51,196","1,783,297","2,798,674"
2021.06,홍콩,"27,229","3,471,242","41,347","160,788","3,310,454"
2021.06,일본,"550,289","2,597,105","202,540","4,599,343","-2,002,238"
2021.06,대만,"31,313","2,062,478","25,275","1,818,777","243,701"
2021.06,싱가포르,"50,572","1,181,819","15,413","982,946","198,872"
2021.06,인도,"15,678","1,166,422","14,781","586,354","580,069"
2021.06,독일,"19,989","1,019,440","208,452","1,850,098","-830,657"
2021.06,멕시코,"16,060","987,868","8,755","581,671","406,197"
2021.06,러시아 연방,"10,518","961,017","2,295","1,310,181","-349,164"
2021.06,호주,"15,940","847,889","49,671","2,276,419","-1,428,530"
2021.06,말레이시아,"30,859","772,821","13,703","902,933","-130,112"
2021.06,필리핀,"13,248","770,671","8,387","285,862","484,808"
2021.06,인도네시아,"18,537","699,460","7,916","750,260","-50,800"
2021.06,태국,"15,234","680,938","43,071","651,294","29,644"
2021.06,폴란드,"7,513","607,968","2,813","120,452","487,516"
2021.06,캐나다,"19,533","585,636","30,605","625,302","-39,666"
2021.06,영국,"10,345","562,838","44,811","504,089","58,749"
2021.06,튀르키예,"7,428","542,798","4,500","107,408","435,390"
2021.06,네덜란드,"9,520","514,041","6,600","718,432","-204,391"
2021.06,라이베리아,115,"423,260",53,16,"423,244"
2021.06,브라질,"7,398","406,245","1,910","746,178","-339,933"
2021.06,프랑스,"8,484","399,509","28,273","566,904","-167,396"
2021.06,이탈리아,"6,746","389,022","60,873","745,647","-356,626"
2021.06,벨기에,"3,091","387,585","2,657","246,685","140,900"
2021.06,마샬군도,38,"359,132",36,"65,947","293,185"
2021.06,아랍에미리트 연합,"7,222","352,357",716,"558,599","-206,242"
