국가별수출입 실적,,,,,,
,,,,,,
"통계기준:수리일,조회구분:202001 ~202207 ,국가:전체",,,,,,
,,,,,,"단위:천 불(USD 1,000)"
2020.01,네덜란드,"7,568","279,562","6,651","225,664","53,898"
2020.01,사우디아라비아,"2,797","255,848",526,"2,018,583","-1,762,735"
2020.01,벨기에,"1,875","249,539","2,195","144,369","105,171"
2020.01,헝가리,"1,983","224,982","1,526","38,816","186,166"
2020.01,슬로바키아,"1,444","219,319",846,"14,152","205,166"
2020.01,파나마,914,"196,941",91,"12,361","184,580"
2020.01,스페인,"3,915","189,000","7,079","181,846","7,154"
2020.01,체코공화국,"2,518","187,258","3,682","76,499","110,759"
2020.01,몰타,218,"185,041",123,"4,238","180,803"
2020.01,마샬군도,30,"163,403",45,30,"163,373"
2020.01,뉴질랜드,"1,912","138,418","49,196","97,538","40,880"
2020.01,우즈베크,"1,318","137,013",51,972,"136,041"
2020.01,이라크,918,"132,700",36,"703,830","-571,130"
2020.01,이집트,"3,369","112,496","1,199","46,897","65,599"
2020.01,토고,89,"112,195",29,"3,899","108,297"
2020.01,방글라데시,"2,688","95,946","1,168","41,084","54,861"
2020.01,이스라엘,"2,286","94,702","1,615","88,430","6,272"
2020.01,오스트리아,"2,179","83,880","4,788","128,295","-44,415"
2020.01,칠레,"2,087","73,457","1,316","316,602","-243,144"
2020.01,파키스탄,"1,600","68,971",690,"15,461","53,510"
2020.01,스웨덴,"1,173","66,921","4,031","135,669","-68,748"
2020.01,슬로베니아,604,"65,448",371,"14,985","50,464"
2020.01,콜롬비아,"1,222","65,181",650,"27,460","37,721"
2020.01,남아프리카공화국,"1,761","56,386","1,682","137,949","-81,562"
2020.01,오만,708,"50,837",76,"329,234","-278,396"
2020.01,포루투갈,832,"50,700","7,634","26,616","24,084"
2020.01,아일랜드,546,"50,101","1,297","96,033","-45,932"
2020.01,요르단,"1,340","48,422",91,"8,814","39,608"
2020.01,아르헨티나,930,"48,317",391,"89,315","-40,998"
2020.01,캄보디아,"2,214","46,428",676,"31,724","14,703"
2020.01,미얀마,"1,325","42,003",646,"36,377","5,627"
2020.01,나이지리아,845,"41,731",85,"211,823","-170,092"
2020.01,페루,"1,161","41,440",849,"304,693","-263,253"
2020.01,리비아,"7,197","41,174",12,"2,576","38,597"
2020.01,노르웨이,723,"39,120","2,339","109,123","-70,003"
2020.01,루마니아,949,"37,953","4,579","34,746","3,208"
2020.01,쿠웨이트,587,"37,660",43,"692,480","-654,820"
2020.01,알제리,277,"34,737",20,"185,044","-150,307"
2020.01,가나,"1,376","31,336",41,"1,955","29,380"
2020.01,스위스,"1,170","30,791","4,007","233,303","-202,513"
2020.01,모로코,399,"30,255",766,"14,247","16,008"
2020.01,에쿠아도르,486,"29,164",279,"12,802","16,362"
2020.01,덴마크,"1,055","28,986","2,583","82,205","-53,219"
2020.01,카타르,702,"26,762",182,"1,086,996","-1,060,234"
2020.01,피지,82,"25,016",23,"1,102","23,913"
2020.01,핀란드,672,"24,168","1,188","62,549","-38,380"
2020.01,그리스,795,"21,985",411,"81,527","-59,542"
2020.01,리투아니아,361,"21,639",750,"6,931","14,708"
2020.01,우크라이나,"2,677","20,852",347,"45,169","-24,317"
2020.01,푸에르토리코,116,"17,558",119,"18,199",-642
2020.01,스리랑카,873,"16,321",443,"18,081","-1,759"
2020.01,도미니카 공화국,453,"16,197",104,"5,940","10,256"
2020.01,케냐,312,"15,685",98,"2,504","13,181"
2020.01,바레인,236,"15,118",64,"23,997","-8,879"
2020.01,이란,307,"14,789",44,751,"14,038"
2020.01,몽골,"1,654","14,713",534,"2,317","12,397"
2020.01,엘살바도르,181,"14,314",95,"2,175","12,139"
2020.01,과테말라,"1,144","14,296",269,"4,959","9,337"
2020.01,탄자니아,355,"13,828",39,"1,577","12,251"
2020.01,크로아티아,212,"12,287",191,"2,153","10,134"
2020.01,불가리아,353,"12,153","1,700","34,663","-22,510"
2020.01,수단,418,"10,920",14,"2,112","8,808"
2020.01,온두라스,319,"9,296",84,"3,567","5,729"
2020.01,튀니지,192,"9,191",911,"6,828","2,363"
2020.01,예맨,"1,443","9,014",48,"3,188","5,827"
2020.01,코스타리카,300,"8,908",342,"7,322","1,586"
2020.01,세르비아,203,"8,189",112,"11,782","-3,593"
2020.01,라오스,164,"7,661",110,"5,762","1,899"
2020.01,모잠비크,62,"7,535",12,"32,889","-25,354"
2020.01,이디오피아,117,"7,251",289,"3,869","3,382"
2020.01,파라과이,138,"7,009",56,"22,556","-15,547"
2020.01,괌,358,"6,659",43,374,"6,286"
2020.01,조지아,385,"6,372",47,"1,209","5,164"
2020.01,에스토니아,278,"6,013",322,"8,051","-2,038"
2020.01,아이슬란드,38,"5,884",41,"1,194","4,690"
2020.01,레바논,169,"5,875",58,"2,690","3,185"
2020.01,시리아,413,"5,734",6,5,"5,729"
2020.01,아제르바이잔,212,"5,471",4,860,"4,611"
2020.01,키르기스스탄,251,"5,406",1,1,"5,405"
2020.01,코트디봐르,119,"5,392",5,75,"5,317"
2020.01,파푸아 뉴기니,64,"5,186",21,"16,632","-11,446"
2020.01,말리,15,"5,155",1,0,"5,155"
2020.01,브루나이,149,"4,866",18,"23,107","-18,241"
2020.01,사이프러스,103,"4,584",32,"10,810","-6,225"
2020.01,니카라과,162,"4,487",42,872,"3,615"
2020.01,베라루스,330,"4,307",47,"1,521","2,786"
2020.01,앙골라,112,"4,223",6,"28,380","-24,157"
2020.01,트리니다드 토바고,82,"4,079",51,"12,048","-7,970"
2020.01,우루과이,129,"3,942",54,"14,220","-10,278"
2020.01,세네갈,183,"3,803",40,"2,115","1,688"
2020.01,라트비아,268,"3,706",238,"6,370","-2,663"
2020.01,쿠바,22,"3,625",3,"1,381","2,244"
2020.01,사모아,23,"3,437",6,115,"3,322"
2020.01,부르키나 파소,21,"3,323",3,1,"3,321"
2020.01,타지크,905,"3,198",0,0,"3,198"
2020.01,마다카스카르,197,"3,163",112,"5,666","-2,503"
2020.01,르완다,72,"2,647",13,177,"2,469"
2020.01,네팔,143,"2,538",75,137,"2,401"
2020.01,마카오,168,"2,461",167,179,"2,282"
2020.01,아이티,67,"2,421",10,241,"2,181"
2020.01,아프카니스탄,116,"2,317",17,58,"2,259"
2020.01,자마이카,46,"2,232",8,221,"2,010"
2020.01,지부티,49,"2,200",7,707,"1,493"
2020.01,룩셈부르그,97,"2,185",188,"6,886","-4,700"
2020.01,기니,145,"2,009",57,"4,406","-2,398"
2020.01,콩고민주공화국,23,"1,959",29,"24,473","-22,514"
2020.01,뉴 칼레도니아,78,"1,912",8,"10,297","-8,384"
2020.01,모리셔스,108,"1,885",48,843,"1,042"
2020.01,불령 리유니온 코모도 제도,31,"1,778",1,0,"1,778"
2020.01,북마리아나 군도,166,"1,702",7,94,"1,608"
2020.01,팔레스타인 해방기구,53,"1,679",1,73,"1,606"
2020.01,볼리비아,98,"1,437",18,"17,169","-15,731"
2020.01,과델로프,15,"1,421",0,0,"1,421"
2020.01,카메룬,101,"1,407",13,188,"1,219"
2020.01,니제르,7,"1,401",0,6,"1,394"
2020.01,마티니크,17,"1,389",1,1,"1,388"
2020.01,알바니아,68,"1,339",288,235,"1,104"
2020.01,콩고,43,"1,316",7,601,715
2020.01,가이아나,30,"1,196",3,339,857
2020.01,베네주엘라,46,"1,073",14,"1,054",19
2020.01,짐바브웨,24,"1,071",21,628,444
2020.01,리히텐슈타인,36,"1,039",48,907,132
2020.01,몰도바,97,"1,025",273,817,208
2020.01,기타국,29,997,615,"139,625","-138,628"
2020.01,수리남,16,978,15,800,178
2020.01,아르메니아,61,971,229,700,271
2020.01,소말리아,18,962,2,383,578
2020.01,불령 폴리네시아,48,909,0,0,909
2020.01,바하마,32,834,5,2,832
2020.01,세이쉘,28,802,4,154,648
2020.01,세인트 마틴,11,759,0,0,759
2020.01,가봉,105,624,3,"4,313","-3,689"
2020.01,잠비아,34,618,3,71,547
2020.01,바누아투,46,564,15,704,-139
2020.01,키리바티,27,546,3,91,455
2020.01,팔라우,36,483,3,43,440
2020.01,안티가 바부다,8,472,0,0,472
2020.01,불령 가이아나,6,454,1,3,451
2020.01,부룬디,5,405,4,66,339
2020.01,바베이도스,12,389,5,68,321
2020.01,베닝,9,384,6,136,249
2020.01,말라위,14,384,11,99,285
2020.01,모리타니,12,328,14,"1,357","-1,029"
2020.01,마이크로네시아,36,325,1,0,325
2020.01,우간다,26,309,24,494,-185
2020.01,보스니아-헤르체고비나,23,296,191,"1,702","-1,406"
2020.01,큐라소,24,282,1,0,282
2020.01,아루바,18,281,1,0,281
2020.01,몰디브,41,251,0,0,251
2020.01,영령 버진군도,3,239,0,0,239
2020.01,벨리제,5,229,1,0,229
2020.01,마세도니아,19,226,27,188,38
2020.01,나미비아,24,220,11,426,-205
2020.01,카보 베르데,9,217,0,0,217
2020.01,그레나다,5,217,0,0,217
2020.01,솔로몬 군도,6,215,4,341,-125
2020.01,부탄,39,201,0,0,201
2020.01,투르크멘,15,196,2,1,195
2020.01,아메리칸 사모아,8,172,6,16,156
2020.01,버뮤다,7,143,1,0,143
2020.01,보츠와나,14,138,4,34,103
2020.01,영령 캐이맨 군도,5,132,0,0,132
2020.01,시에라 리온,6,128,17,"1,775","-1,648"
2020.01,나우루,8,107,0,0,107
2020.01,감비아,32,98,5,318,-219
2020.01,적도 기니,4,82,1,"36,348","-36,266"
2020.01,스와질랜드,10,73,7,235,-162
2020.01,지브랄타,13,66,0,0,66
2020.01,세인트 바르탤르미,3,62,1,0,62
2020.01,세인트 빈센트 그레나딘,3,54,1,2,52
2020.01,몬테네그로,5,54,1,0,54
2020.01,티모르,5,52,4,35,17
2020.01,모나코,6,50,5,172,-122
2020.01,남수단,2,43,0,0,43
2020.01,챠드,11,43,0,1,42
2020.01,네덜란드 열도,5,39,0,0,39
2020.01,도미니카,5,32,0,2,30
2020.01,안도라,5,24,12,13,11
2020.01,산마리노,2,24,15,789,-764
2020.01,앙귈라,6,12,1,0,12
2020.01,상토메 프린스페,3,9,0,0,9
2020.01,포클랜드 군도,4,8,0,0,8
2020.01,투르크 & 카이코스 군도,1,8,1,2,6
2020.01,왈라스 & 퓨투나 군도,2,7,0,0,7
2020.01,통가,1,7,8,134,-128
2020.01,미령 버진군도,1,6,4,23,-17
2020.01,그린랜드,1,4,0,0,4
2020.01,세인트 키츠 네비스,1,2,1,2,0
2020.01,투발루,1,1,0,0,1
2020.01,레소토,0,0,11,12,-12
2020.01,코모로스,0,0,1,1,-1
2020.01,저어지,2,0,0,0,0
2020.01,에리트리아,0,0,1,"6,769","-6,769"
2020.01,크리스마스 아일랜드,0,0,1,1,-1
2020.01,중앙아프리카공화국,1,0,1,32,-32
2020.01,보빗군도,0,0,1,0,0
2020.01,마이너 아우틀링 합중국 군도,0,0,2,0,0
2020.01,기네비소,0,0,2,206,-206
2020.01,건지,0,0,1,2,-2
2020.01,파로에 군도,0,0,1,1,-1
2020.01,노폴크 아일랜드,0,0,1,0,0
2020.01,니우에,0,0,1,10,-10
2020.01,토켈라우,0,0,0,0,0
2020.02,중국,"145,546","8,824,933","161,810","5,553,041","3,271,893"
2020.02,미국,"88,394","5,931,572","1,356,389","5,435,012","496,560"
2020.02,베트남,"53,969","3,931,517","35,433","1,498,133","2,433,384"
2020.02,홍콩,"23,237","2,546,966","27,632","129,395","2,417,570"
2020.02,일본,"121,121","2,265,045","136,473","3,771,979","-1,506,934"
2020.02,인도,"21,039","1,384,859","12,319","515,487","869,372"
2020.02,싱가포르,"50,146","1,140,564","13,732","567,146","573,418"
2020.02,대만,"28,006","1,066,634","23,759","1,328,060","-261,426"
2020.02,멕시코,"12,444","733,407","5,939","507,380","226,028"
2020.02,말레이시아,"15,021","685,743","11,151","841,727","-155,984"
2020.02,태국,"14,512","646,412","12,704","445,459","200,952"
2020.02,필리핀,"10,109","639,404","7,539","236,643","402,760"
2020.02,인도네시아,"18,175","601,157","9,067","679,343","-78,185"
2020.02,독일,"13,218","592,074","222,382","1,530,818","-938,744"
2020.02,튀르키예,"6,557","583,194","3,478","70,148","513,046"
2020.02,러시아 연방,"10,630","540,899","1,799","1,225,829","-684,930"
2020.02,호주,"9,778","459,049","56,954","1,315,474","-856,425"
2020.02,캐나다,"9,513","383,705","18,056","380,693","3,013"
2020.02,영국,"8,883","377,896","35,546","271,235","106,661"
2020.02,폴란드,"6,899","370,017","2,710","62,861","307,156"
2020.02,브라질,"7,438","360,012","1,551","267,654","92,357"
2020.02,네덜란드,"8,082","356,532","8,526","333,994","22,537"
2020.02,아랍에미리트 연합,"6,735","340,594",551,"968,636","-628,042"
2020.02,카자흐스탄,"1,337","300,907",47,"81,888","219,020"
2020.02,라이베리아,58,"295,928",87,261,"295,667"
2020.02,사우디아라비아,"3,031","271,476",514,"1,745,582","-1,474,106"
2020.02,이탈리아,"5,551","265,142","74,516","499,636","-234,494"
2020.02,벨기에,"2,239","252,241","2,898","145,425","106,817"
2020.02,슬로바키아,"1,541","250,183","1,094","33,536","216,647"
2020.02,헝가리,"2,164","232,756","1,348","34,004","198,752"
2020.02,체코공화국,"2,664","227,401","4,069","65,825","161,576"
2020.02,프랑스,"5,780","223,525","19,301","421,047","-197,523"
2020.02,마샬군도,17,"193,547",25,77,"193,470"
2020.02,스페인,"4,438","192,282","6,592","131,009","61,273"
2020.02,버뮤다,10,"184,937",4,46,"184,891"
2020.02,우즈베크,"1,643","160,502",52,892,"159,610"
2020.02,쿠웨이트,657,"157,138",51,"804,793","-647,655"
2020.02,노르웨이,782,"154,213","2,272","172,922","-18,709"
2020.02,토고,112,"145,037",21,"2,782","142,255"
2020.02,파나마,"1,006","144,453",88,"53,903","90,550"
2020.02,뉴질랜드,"2,155","140,443","47,043","83,924","56,519"
2020.02,이라크,"1,058","118,575",28,"667,837","-549,263"
2020.02,방글라데시,"2,683","107,368","1,114","38,798","68,569"
2020.02,파키스탄,"1,804","103,050",635,"24,257","78,793"
2020.02,이집트,"3,263","92,877",742,"48,747","44,129"
2020.02,이스라엘,"2,236","89,984","1,524","83,478","6,506"
2020.02,오스트리아,"2,510","88,488","5,073","116,046","-27,558"
2020.02,슬로베니아,662,"79,796",379,"7,111","72,685"
2020.02,미얀마,"1,550","65,788",702,"46,083","19,705"
2020.02,지브랄타,39,"64,563",0,0,"64,563"
2020.02,오만,997,"62,225",84,"288,854","-226,629"
2020.02,스웨덴,"1,354","57,240","4,590","112,528","-55,289"
2020.02,칠레,"2,285","54,141","1,257","247,351","-193,210"
2020.02,남아프리카공화국,"2,083","53,073",684,"102,343","-49,270"
2020.02,콜롬비아,"1,295","53,073",596,"56,040","-2,967"
2020.02,몰타,261,"52,608",146,"5,836","46,772"
2020.02,캄보디아,"2,623","51,224",623,"31,153","20,071"
2020.02,스위스,"1,277","50,987","4,518","224,586","-173,600"
2020.02,나이지리아,840,"49,248",80,"114,134","-64,885"
2020.02,리비아,"9,088","46,867",11,"2,126","44,741"
2020.02,페루,"1,277","45,831",730,"266,511","-220,680"
2020.02,루마니아,"1,022","43,365","4,446","47,833","-4,468"
2020.02,요르단,"1,633","40,840",79,"8,689","32,152"
2020.02,아르헨티나,951,"37,432",331,"79,746","-42,314"
2020.02,아일랜드,522,"35,521","1,212","104,967","-69,446"
2020.02,포루투갈,908,"32,511","6,566","28,688","3,823"
2020.02,우크라이나,"3,602","31,356",458,"113,612","-82,256"
2020.02,리투아니아,396,"31,064",585,"5,215","25,849"
2020.02,덴마크,"1,166","28,472","2,701","67,203","-38,732"
2020.02,바레인,319,"28,384",60,"47,865","-19,481"
2020.02,몽골,"1,874","25,178",407,"1,260","23,919"
2020.02,그리스,947,"23,041",385,"121,950","-98,909"
2020.02,알제리,270,"22,831",12,"105,738","-82,907"
2020.02,모로코,462,"22,166",723,"12,272","9,894"
2020.02,괌,353,"21,683",38,164,"21,519"
2020.02,과테말라,"1,255","20,908",291,"3,762","17,146"
2020.02,카타르,675,"20,273",153,"919,357","-899,083"
2020.02,핀란드,740,"20,075","1,143","61,266","-41,191"
2020.02,솔로몬 군도,27,"19,666",4,"1,294","18,372"
2020.02,이란,273,"18,170",48,"1,361","16,810"
2020.02,도미니카 공화국,458,"18,035",100,"5,377","12,658"
2020.02,불령 폴리네시아,54,"16,742",2,106,"16,636"
2020.02,수단,497,"16,258",12,"1,641","14,616"
2020.02,탄자니아,337,"15,308",36,"12,096","3,212"
2020.02,에쿠아도르,486,"15,178",222,"6,583","8,595"
2020.02,가나,"1,552","14,234",37,"2,266","11,968"
2020.02,스리랑카,983,"14,163",426,"6,566","7,596"
2020.02,케냐,325,"13,564",117,"2,609","10,955"
2020.02,온두라스,371,"13,406",98,"5,993","7,413"
2020.02,푸에르토리코,133,"12,557",95,"21,619","-9,062"
2020.02,불가리아,463,"12,178","1,541","13,370","-1,191"
2020.02,아제르바이잔,282,"11,862",4,0,"11,862"
2020.02,이디오피아,134,"10,413",223,"1,795","8,618"
2020.02,예맨,"1,929","10,319",34,"2,961","7,358"
2020.02,엘살바도르,183,"9,516",103,"1,731","7,785"
2020.02,세르비아,183,"9,421",128,"16,516","-7,095"
2020.02,코트디봐르,154,"9,129",21,301,"8,828"
2020.02,코스타리카,450,"8,715",368,"7,130","1,585"
2020.02,라오스,175,"8,702",102,"3,169","5,533"
2020.02,조지아,616,"8,487",36,"1,721","6,767"
2020.02,우루과이,149,"7,910",55,"9,165","-1,255"
2020.02,니카라과,225,"7,405",60,"11,482","-4,077"
2020.02,튀니지,221,"7,050",838,"7,394",-345
2020.02,파라과이,213,"7,029",60,"19,383","-12,354"
2020.02,키르기스스탄,362,"6,942",3,0,"6,942"
2020.02,불령 남부지역,1,"6,790",0,0,"6,790"
2020.02,레바논,171,"6,311",29,479,"5,832"
2020.02,시리아,170,"6,217",10,3,"6,214"
2020.02,트리니다드 토바고,64,"6,017",43,"9,836","-3,818"
2020.02,말리,17,"5,857",1,500,"5,357"
2020.02,파푸아 뉴기니,67,"5,700",28,"22,309","-16,609"
2020.02,아프카니스탄,105,"5,474",9,5,"5,469"
2020.02,아이티,121,"5,211",19,190,"5,021"
2020.02,크로아티아,224,"5,085",253,"4,262",823
2020.02,에스토니아,278,"4,929",283,"6,271","-1,342"
2020.02,지부티,63,"4,261",6,530,"3,731"
2020.02,기니,155,"4,055",75,"6,936","-2,881"
2020.02,모잠비크,71,"3,950",14,700,"3,250"
2020.02,라트비아,278,"3,919",261,"5,372","-1,454"
2020.02,아이슬란드,25,"3,806",38,"1,333","2,472"
2020.02,팔레스타인 해방기구,85,"3,729",1,179,"3,549"
2020.02,베라루스,256,"3,695",64,"6,822","-3,126"
2020.02,타지크,904,"3,525",0,0,"3,525"
2020.02,세네갈,200,"3,518",41,"2,136","1,382"
2020.02,네팔,142,"3,485",78,131,"3,354"
2020.02,사모아,18,"2,862",4,111,"2,750"
2020.02,부르키나 파소,14,"2,744",0,0,"2,744"
2020.02,모리셔스,129,"2,723",42,608,"2,114"
2020.02,마다카스카르,248,"2,532",93,"15,696","-13,164"
2020.02,콩고민주공화국,30,"2,429",33,"28,542","-26,113"
2020.02,앙골라,165,"2,428",8,"15,620","-13,192"
2020.02,자마이카,61,"2,416",10,127,"2,289"
2020.02,피지,75,"2,237",38,452,"1,785"
2020.02,마카오,130,"2,170",272,192,"1,978"
2020.02,말라위,10,"1,975",16,"3,718","-1,742"
2020.02,르완다,59,"1,859",7,134,"1,725"
2020.02,기타국,38,"1,845",774,"131,592","-129,747"
2020.02,룩셈부르그,95,"1,766",157,"4,982","-3,216"
2020.02,불령 리유니온 코모도 제도,18,"1,626",1,2,"1,624"
2020.02,사이프러스,138,"1,560",40,"16,874","-15,314"
2020.02,브루나이,106,"1,438",7,374,"1,064"
2020.02,뉴 칼레도니아,66,"1,343",12,"15,786","-14,443"
2020.02,투르크멘,19,"1,323",1,0,"1,322"
2020.02,베네주엘라,31,"1,291",17,906,385
2020.02,몰도바,124,"1,187",242,"1,086",102
2020.02,짐바브웨,26,"1,178",22,"2,237","-1,059"
2020.02,잠비아,40,"1,153",1,72,"1,081"
2020.02,세이쉘,34,"1,143",5,238,905
2020.02,가이아나,38,"1,098",2,141,957
2020.02,카메룬,83,"1,015",15,216,799
2020.02,알바니아,74,993,210,340,654
2020.02,소말리아,18,971,5,216,755
2020.02,바하마,37,963,9,23,940
2020.02,리히텐슈타인,26,955,61,889,67
2020.02,가봉,109,944,3,"2,799","-1,854"
2020.02,몰디브,43,934,3,1,933
2020.02,북마리아나 군도,165,913,17,167,745
2020.02,모리타니,15,895,7,"1,082",-187
2020.02,우간다,41,883,25,622,261
2020.02,아르메니아,93,814,135,999,-185
2020.02,과델로프,10,764,0,0,764
2020.02,마티니크,16,724,0,0,724
2020.02,마세도니아,38,689,21,479,209
2020.02,콩고,35,683,5,465,218
2020.02,볼리비아,99,664,24,"39,129","-38,466"
2020.02,바베이도스,12,599,6,26,573
2020.02,키리바티,11,523,2,0,523
2020.02,팔라우,26,485,3,34,451
2020.02,마이크로네시아,42,465,1,29,436
2020.02,쿠바,31,446,4,11,435
2020.02,아메리칸 사모아,13,446,2,15,432
2020.02,큐라소,12,417,0,0,417
2020.02,영령 캐이맨 군도,8,399,0,0,399
2020.02,수리남,24,392,8,352,40
2020.02,아루바,23,379,0,0,379
2020.02,보스니아-헤르체고비나,25,326,205,"1,941","-1,615"
2020.02,시에라 리온,10,325,23,"2,288","-1,963"
2020.02,남수단,7,323,1,1,321
2020.02,나미비아,49,307,21,"19,502","-19,195"
2020.02,베닝,13,268,3,25,243
2020.02,바누아투,27,253,15,753,-500
2020.02,세인트 마틴,7,240,0,0,240
2020.02,티모르,6,220,6,33,187
2020.02,벨리제,7,218,1,4,213
2020.02,스와질랜드,18,214,10,133,81
2020.02,투르크 & 카이코스 군도,3,176,1,1,175
2020.02,그레나다,7,173,0,0,173
2020.02,몬테네그로,12,164,3,107,57
2020.02,부탄,55,154,1,0,154
2020.02,네덜란드 열도,14,152,2,5,146
2020.02,도미니카,6,147,0,0,147
2020.02,중앙아프리카공화국,4,139,0,0,139
2020.02,앙귈라,6,129,0,0,129
2020.02,세인트 루시아,7,128,0,0,128
2020.02,안도라,1,122,2,1,122
2020.02,세인트 바르탤르미,3,105,0,0,105
2020.02,코모로스,9,84,1,0,84
2020.02,카보 베르데,1,58,0,0,58
2020.02,안티가 바부다,10,56,1,3,53
2020.02,감비아,37,54,6,549,-495
2020.02,상토메 프린스페,3,53,1,0,53
2020.02,불령 가이아나,9,47,0,0,47
2020.02,모나코,5,44,5,35,9
2020.02,세인트 빈센트 그레나딘,2,43,0,3,39
2020.02,보츠와나,11,25,4,23,2
2020.02,영령 버진군도,6,21,1,0,21
2020.02,적도 기니,3,15,0,0,15
2020.02,챠드,4,11,1,1,9
2020.02,부룬디,5,10,2,70,-60
2020.02,미령 버진군도,4,9,2,17,-8
2020.02,통가,2,8,4,27,-19
2020.02,니제르,1,6,1,6,0
2020.02,안타티카,2,3,0,1,3
2020.02,레소토,3,3,9,9,-7
2020.02,세인트 키츠 네비스,1,2,3,1,1
2020.02,포클랜드 군도,1,1,0,0,1
2020.02,건지,1,1,3,6,-5
2020.02,마이너 아우틀링 합중국 군도,0,0,1,15,-15
2020.02,에리트리아,0,0,1,"5,286","-5,286"
2020.02,기네비소,0,0,3,241,-241
2020.02,토켈라우,0,0,2,1,-1
2020.02,산마리노,0,0,5,27,-27
2020.02,니우에,0,0,1,6,-6
2020.02,몬트세라트,0,0,0,0,0
2020.02,저어지,0,0,1,0,0
2020.02,영령 인도양,0,0,0,4,-4
2020.02,맨섬,1,0,1,1,0
2020.02,투발루,1,0,0,0,0
2020.03,중국,"248,032","10,643,503","358,231","8,955,781","1,687,723"
2020.03,미국,"97,038","7,281,215","1,368,344","5,371,871","1,909,344"
2020.03,베트남,"57,378","3,998,334","43,059","1,907,887","2,090,447"
2020.03,홍콩,"25,819","3,172,787","31,745","117,348","3,055,439"
2020.03,일본,"149,803","2,485,053","153,671","4,390,046","-1,904,993"
2020.03,대만,"27,434","1,257,872","25,212","1,478,779","-220,907"
2020.03,인도,"19,055","1,226,092","13,037","499,807","726,285"
2020.03,싱가포르,"31,195","980,416","15,579","637,272","343,144"
2020.03,독일,"13,403","891,397","242,919","1,994,861","-1,103,464"
2020.03,멕시코,"13,267","840,423","8,568","580,616","259,807"
2020.03,말레이시아,"14,397","698,705","12,377","767,340","-68,636"
2020.03,튀르키예,"6,814","608,860","3,730","126,043","482,817"
2020.03,태국,"15,190","596,527","15,129","460,703","135,824"
2020.03,인도네시아,"18,871","588,487","10,669","755,776","-167,288"
2020.03,러시아 연방,"8,725","580,221","1,867","1,295,146","-714,925"
2020.03,필리핀,"8,142","576,914","7,306","304,817","272,097"
2020.03,호주,"9,753","572,797","55,415","1,571,817","-999,020"
2020.03,캐나다,"9,193","527,050","24,653","376,059","150,991"
2020.03,폴란드,"6,860","469,919","2,620","75,376","394,543"
2020.03,영국,"7,932","410,513","37,668","331,510","79,003"
2020.03,네덜란드,"9,095","398,899","11,334","814,539","-415,639"
2020.03,사우디아라비아,"3,274","376,710",585,"1,593,871","-1,217,161"
2020.03,아랍에미리트 연합,"6,472","368,415",586,"561,024","-192,610"
2020.03,브라질,"7,383","358,588","1,661","400,125","-41,537"
2020.03,몰타,299,"339,556",143,"12,517","327,040"
2020.03,버뮤다,17,"324,109",2,277,"323,831"
2020.03,이탈리아,"4,986","306,784","72,112","535,659","-228,875"
2020.03,벨기에,"2,264","260,301","2,506","125,566","134,735"
2020.03,헝가리,"2,249","257,615","1,794","51,096","206,519"
2020.03,프랑스,"4,733","249,853","21,361","499,318","-249,464"
2020.03,체코공화국,"2,584","233,665","3,877","68,639","165,026"
2020.03,스페인,"4,090","232,163","8,120","152,812","79,351"
